127.0.0.1 - - [22/Apr/2020:00:49:06 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:49:09 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:49:12 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:49:16 +0530] "GET /ORSProj3/LoginCtl HTTP/1.1" 200 5482
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:49:48 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:49:49 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 8958
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:49:55 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 10226
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:49:55 +0530] "GET /ORSProj3/js/jquery.min.js HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:49:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:49:55 +0530] "GET /ORSProj3/js/Checkbox11.js HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:19 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 10233
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:19 +0530] "GET /ORSProj3/js/jquery.min.js HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:19 +0530] "GET /ORSProj3/js/Checkbox11.js HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:20 +0530] "GET /ORSProj3/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:33 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 10238
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:33 +0530] "GET /ORSProj3/js/jquery.min.js HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:33 +0530] "GET /ORSProj3/js/Checkbox11.js HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:33 +0530] "GET /ORSProj3/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:58 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 10238
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:58 +0530] "GET /ORSProj3/js/jquery.min.js HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:58 +0530] "GET /ORSProj3/js/Checkbox11.js HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:51:59 +0530] "GET /ORSProj3/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:52:32 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 10238
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:52:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:52:32 +0530] "GET /ORSProj3/js/jquery.min.js HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:52:32 +0530] "GET /ORSProj3/js/Checkbox11.js HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:52:32 +0530] "GET /ORSProj3/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:52:59 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 10245
0:0:0:0:0:0:0:1 - - [22/Apr/2020:00:52:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
