127.0.0.1 - - [09/Aug/2020:19:59:07 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Aug/2020:19:59:17 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [09/Aug/2020:19:59:18 +0530] "GET /ORSProj3/img/455165.jpg HTTP/1.1" 200 172450
0:0:0:0:0:0:0:1 - - [09/Aug/2020:19:59:18 +0530] "GET /ORSProj3/img/customLogo.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [09/Aug/2020:19:59:19 +0530] "GET /ORSProj3/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [09/Aug/2020:19:59:38 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [09/Aug/2020:19:59:38 +0530] "GET /ORSProj3/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [09/Aug/2020:19:59:39 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [09/Aug/2020:19:59:39 +0530] "GET /ORSProj3/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [09/Aug/2020:19:59:40 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [09/Aug/2020:19:59:40 +0530] "GET /ORSProj3/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [09/Aug/2020:19:59:57 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
