127.0.0.1 - - [28/Sep/2021:22:29:54 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:30:41 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:30:50 +0530] "GET /ORSProj3/img/455165.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:30:50 +0530] "GET /ORSProj3/img/customLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:30:57 +0530] "GET /ORSProj3/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:31:34 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:31:52 +0530] "GET /ORSProj3/UserRegistrationCtl HTTP/1.1" 200 8019
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:31:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:32:08 +0530] "GET /ORSProj3/UserRegistrationCtl HTTP/1.1" 200 8019
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:32:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:32:13 +0530] "GET /ORSProj3/ForgetPasswordCtl HTTP/1.1" 200 4712
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:32:29 +0530] "POST /ORSProj3/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:32:29 +0530] "GET /ORSProj3/ForgetPasswordCtl HTTP/1.1" 200 4712
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:32:39 +0530] "GET /ORSProj3/LoginCtl HTTP/1.1" 200 5482
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:35:57 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 200 5736
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:36:53 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:36:53 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 8958
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:37:04 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 14400
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:37:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:37:04 +0530] "GET /ORSProj3/js/Checkbox11.js HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:37:04 +0530] "GET /ORSProj3/js/jquery.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:37:19 +0530] "POST /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 13238
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:37:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:37:32 +0530] "GET /ORSProj3/doc/index.html HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:37:33 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:37:43 +0530] "GET /ORSProj3/ctl/TimeTableListCtl HTTP/1.1" 200 14256
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:37:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:37:56 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 14400
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:37:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [28/Sep/2021:22:38:08 +0530] "POST /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 13479
