127.0.0.1 - - [04/Jan/2022:18:17:00 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:17:06 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:17:32 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:17:44 +0530] "GET /ORSProj3/LoginCtl HTTP/1.1" 200 5482
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:18:39 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:18:39 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 8958
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:18:46 +0530] "GET /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 200 14092
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:18:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:27:49 +0530] "POST /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 200 13208
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:27:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:27:58 +0530] "POST /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 200 13208
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:27:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:28:06 +0530] "POST /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 200 13208
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:28:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:28:16 +0530] "GET /ORSProj3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 11243
