127.0.0.1 - - [14/Feb/2022:18:36:43 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Feb/2022:18:37:18 +0530] "GET /ORSProj3/ HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:10:02 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:10:08 +0530] "GET /ORSProj3/UserRegistrationCtl HTTP/1.1" 200 8019
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:10:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:10:15 +0530] "GET /ORSProj3/LoginCtl HTTP/1.1" 200 5482
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:10:39 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:10:39 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 8956
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:10:44 +0530] "GET /ORSProj3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 11272
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:10:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:10:54 +0530] "POST /ORSProj3/ctl/MarksheetMeritListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:10:54 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 8956
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:10:57 +0530] "GET /ORSProj3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 11272
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:10:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:12:59 +0530] "GET /ORSProj3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 11272
